Manual az,File_name,Dur(Sec),DOB,Sex,Genotype,Experimenter,Quality (1-5),Condition,Chip,Bad_lanes,Note,Center_xy,event_check,harp,LP,Sorted,Perfuse Time,Euth Time,Pictrure,LP EST,Date,Time,Age,Simulation,Hour,File location,Note2,Check FN,Since PT,Since ET,Events,Note3,AI_Count,File_Location,Step_Check,event per min,Max_Count/sec,Max/min/mm2,Stim_Type,Sorted_Cell_Num,Sheet Name
,2025.01.08.10.39.26.Rec.cmcr,557.5,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4122,"33, 34, 37, 39, 45, 47",AAV-opn:cnga2:pde@10/11/2024,,,,,,10:23:00,10:00:00,,,,,,TRUE,#REF!,,,#VALUE!,,,,,,,,,,,,,Data_2025
,2025.01.08.11.17.00.Rec.cmcr,1106.7,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4150,"34, 37, 43",green light,,,,,,10:59:00,10:00:00,,,,,,TRUE,#REF!,,,#VALUE!,,,,,,,,,,,,,Data_2025
,2025.01.08.11.48.16.Rec.cmcr,1104,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4147,"34, 37",,,,,,,11:37:00,10:00:00,,,,11:48:16,-45492,TRUE,11,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.08.12.18.48.Rec.cmcr,1119.4,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4121,"34, 60",,,,,,,12:07:00,10:00:00,,,,12:18:48,-45492,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.08.12.52.44.Rec.cmcr,1105.5,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),,34,,,,,,,12:38:00,10:00:00,,,,12:52:44,-45492,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.08.13.11.37.Rec.cmcr,1106.9,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),,34,,,,,,,12:38:00,10:00:00,,,,13:11:37,-45492,TRUE,13,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.10.21.38.Rec.cmcr,1105.8,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4140,,AAV-opn:cnga2:pde@10/11/2024,,,,,,10:01:00,9:40:00,,,,10:21:38,-45492,TRUE,10,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.11.45.59.Rec.cmcr,1107,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4207,,green light,,,,,,11:20:00,11:00:00,,,,11:45:59,-45401,TRUE,11,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.12.18.43.Rec.cmcr,1104.6,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4154,34,,,,,,,12:06:00,11:00:00,,,,12:18:43,-45401,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.12.48.17.Rec.cmcr,1103.3,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4134,34,,,,,,,12:38:00,11:00:00,,,,12:48:17,-45401,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.13.15.01.Rec.cmcr,1103.6,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4134,34,,,,,,,12:38:00,11:00:00,,,,13:15:1,-45401,TRUE,13,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.13.38.42.Rec.cmcr,1103.6,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),250015,34,,,,,,,13:34:00,13:10:00,,,,13:38:42,-45401,TRUE,13,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.14.30.22.Rec.cmcr,1103.5,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4147,34,,,,,,,14:20:00,13:10:00,,,,#REF!,-45401,TRUE,#REF!,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.14.58.16.Rec.cmcr,1102.1,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4150,"34, 43",,,,,,,14:49:00,13:10:00,,,,14:30:22,-45401,TRUE,14,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.15.30.40.Rec.cmcr,1105.3,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4121,,,,,,,,15:17:00,13:10:00,,,,14:58:16,-45401,TRUE,14,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.14.15.49.25.Rec.cmcr,1104.6,4/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4121,,,,,,,,15:17:00,13:10:00,,,,15:49:25,-45401,TRUE,15,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.10.09.24.Rec.cmcr,1106.7,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4122,"34, 39, 47",AAV-opn:cnga2:arrb@10/11/2024,,,,,,9:52:00,9:30:00,,,,10:9:24,-45492,TRUE,10,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.10.30.10.Rec.cmcr,701.9,7/19/2024,F,Rd,,,play_steps,4122,"34, 39, 47",green light,,,,,,9:52:00,9:30:00,,,,10:30:10,-45492,TRUE,10,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.10.52.41.Rec.cmcr,1106,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),250015,"34, 45",,,,,,,10:42:00,9:30:00,,,,10:52:41,-45492,TRUE,10,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.11.11.52.Rec.cmcr,692.9,7/19/2024,F,Rd,,,play_steps,250015,"34, 45",,,,,,,10:42:00,9:30:00,,,,11:11:52,-45492,TRUE,11,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.11.51.15.Rec.cmcr,550.9,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),,,,,,,,,11:38:00,9:30:00,,,,11:51:15,-45492,TRUE,11,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.12.10.16.Rec.cmcr,340.2,7/19/2024,F,Rd,,,play_steps,,,,,,,,,11:38:00,9:30:00,,,,12:10:16,-45492,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.12.35.22.Rec.cmcr,1110.2,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4140,21,,,,,,,12:23:00,12:00:00,,,,12:35:22,-45492,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.12.54.27.Rec.cmcr,690.3,7/19/2024,F,Rd,,,play_steps,4140,21,,,,,,,12:23:00,12:00:00,,,,12:54:27,-45492,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.13.24.48.Rec.cmcr,1103.7,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4144,"5, 30, 32, 38",,,,,,,13:09:00,12:00:00,,,,13:24:48,-45492,TRUE,13,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.13.45.05.Rec.cmcr,695.1,7/19/2024,F,Rd,,,play_steps,4144,"5, 30, 32, 38",,,,,,,13:09:00,12:00:00,,,,13:45:5,-45492,TRUE,13,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.14.11.26.Rec.cmcr,1102.4,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4154,,,,,,,,13:57:00,12:00:00,,,,14:11:26,-45492,TRUE,14,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.14.30.41.Rec.cmcr,703,7/19/2024,F,Rd,,,play_steps,4154,,,,,,,,13:57:00,12:00:00,,,,14:30:41,-45492,TRUE,14,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.14.55.33.Rec.cmcr,1102.4,7/19/2024,F,Rd,,,play_duration_interval_set_8_1(),4207,,,,,,,,14:43:00,12:00:00,,,,14:55:33,-45492,TRUE,14,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.15.15.14.24.Rec.cmcr,707.6,7/19/2024,F,Rd,,,play_steps,4207,,,,,,,,14:43:00,12:00:00,,,,15:14:24,-45492,TRUE,15,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.28.10.28.06.Rec.cmcr,1131.7,9/4/2014,M,BLK,,,"play_duration_interval_set_8_1(), 3filter",4134,62,green light,"L, 5, -5",,,,,10:08:00,9:40:00,,,,10:28:6,-41886,TRUE,10,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.28.10.47.34.Rec.cmcr,1103.2,9/4/2014,M,BLK,,,play_duration_interval_set_8_1(),4134,62,,"L, 5, -5",,,,,10:08:00,9:40:00,,,,10:47:34,-41886,TRUE,10,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.28.11.21.18.Rec.cmcr,1115.9,9/4/2014,M,BLK,,,play_duration_interval_set_8_1(),4207,62,,"L, 5, 5",,,,,11:17:00,9:40:00,,,,11:21:18,-41886,TRUE,11,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.28.11.41.21.Rec.cmcr,640.5,9/4/2014,M,BLK,,,play_all_optimization_set6_without_step,4207,62,,"L, 5, 5",,,,,11:17:00,9:40:00,,,,11:41:21,-41886,TRUE,11,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.28.11.59.03.Rec.cmcr,1106.3,9/4/2014,M,BLK,,,play_duration_interval_set_8_1(),4147,62,,"L, -5, -5",,,,,11:54:00,9:40:00,,,,11:59:3,-41886,TRUE,11,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
,2025.01.28.12.19.30.Rec.cmcr,678.4,9/4/2014,M,BLK,,,play_all_optimization_set6_without_step,4147,62,,"L, -5, -5",,,,,12:31:00,9:40:00,,,,12:19:30,-41886,TRUE,12,,,#VALUE!,,,,,,,FALSE,,,,,,Data_2025
