dataset_id,direction,rep_idx,start_frame_rel,end_frame_rel,start_frame_abs,end_frame_abs,n_frames,duration_samples_approx,duration_s_approx,movie_start_frame
2024.02.26-10.53.19-Rec,0,0,380,420,11124,11164,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,0,1,4900,4940,15644,15684,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,0,2,9420,9460,20164,20204,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,135,0,2116,2156,12860,12900,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,135,1,6636,6676,17380,17420,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,135,2,11156,11196,21900,21940,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,180,0,2571,2611,13315,13355,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,180,1,7091,7131,17835,17875,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,180,2,11611,11651,22355,22395,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,225,0,3140,3180,13884,13924,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,225,1,7660,7700,18404,18444,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,225,2,12180,12220,22924,22964,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,270,0,3920,3960,14664,14704,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,270,1,8440,8480,19184,19224,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,270,2,12960,13000,23704,23744,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,315,0,4135,4175,14879,14919,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,315,1,8655,8695,19399,19439,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,315,2,13175,13215,23919,23959,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,45,0,801,841,11545,11585,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,45,1,5321,5361,16065,16105,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,45,2,9841,9881,20585,20625,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,90,0,1231,1271,11975,12015,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,90,1,5751,5791,16495,16535,40,13330,0.6665,10744
2024.02.26-10.53.19-Rec,90,2,10271,10311,21015,21055,40,13330,0.6665,10744
2024.02.26-11.44.42-Rec,0,0,168,208,10912,10952,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,0,1,4688,4728,15432,15472,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,0,2,9208,9248,19952,19992,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,135,0,1791,1831,12535,12575,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,135,1,6311,6351,17055,17095,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,135,2,10831,10871,21575,21615,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,180,0,2673,2713,13417,13457,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,180,1,7193,7233,17937,17977,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,180,2,11713,11753,22457,22497,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,225,0,3233,3273,13977,14017,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,225,1,7753,7793,18497,18537,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,225,2,12273,12313,23017,23057,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,270,0,3794,3834,14538,14578,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,270,1,8314,8354,19058,19098,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,270,2,12834,12874,23578,23618,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,315,0,4460,4500,15204,15244,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,315,1,8980,9020,19724,19764,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,315,2,13500,13540,24244,24284,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,45,0,818,858,11562,11602,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,45,1,5338,5378,16082,16122,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,45,2,9858,9898,20602,20642,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,90,0,1357,1397,12101,12141,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,90,1,5877,5917,16621,16661,40,13360,0.668,10744
2024.02.26-11.44.42-Rec,90,2,10397,10437,21141,21181,40,13360,0.668,10744
2024.02.26-12.23.03-Rec,0,0,592,632,11336,11376,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,0,1,5112,5152,15856,15896,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,0,2,9632,9672,20376,20416,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,135,0,2251,2291,12995,13035,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,135,1,6771,6811,17515,17555,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,135,2,11291,11331,22035,22075,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,180,0,2359,2399,13103,13143,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,180,1,6879,6919,17623,17663,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,180,2,11399,11439,22143,22183,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,225,0,2906,2945,13650,13689,39,13101,0.65505,10744
2024.02.26-12.23.03-Rec,225,1,7426,7465,18170,18209,39,13101,0.65505,10744
2024.02.26-12.23.03-Rec,225,2,11946,11985,22690,22729,39,13101,0.65505,10744
2024.02.26-12.23.03-Rec,270,0,3452,3492,14196,14236,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,270,1,7972,8012,18716,18756,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,270,2,12492,12532,23236,23276,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,315,0,4440,4480,15184,15224,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,315,1,8960,9000,19704,19744,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,315,2,13480,13520,24224,24264,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,45,0,1035,1075,11779,11819,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,45,1,5555,5595,16299,16339,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,45,2,10075,10115,20819,20859,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,90,0,1699,1739,12443,12483,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,90,1,6219,6259,16963,17003,40,13437,0.67185,10744
2024.02.26-12.23.03-Rec,90,2,10739,10779,21483,21523,40,13437,0.67185,10744
2024.02.26-13.44.15-Rec,0,0,372,412,11116,11156,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,0,1,4892,4932,15636,15676,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,0,2,9412,9452,20156,20196,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,135,0,1932,1972,12676,12716,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,135,1,6452,6492,17196,17236,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,135,2,10972,11012,21716,21756,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,180,0,2469,2509,13213,13253,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,180,1,6989,7029,17733,17773,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,180,2,11509,11549,22253,22293,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,225,0,3004,3044,13748,13788,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,225,1,7524,7564,18268,18308,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,225,2,12044,12084,22788,22828,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,270,0,3436,3476,14180,14220,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,270,1,7956,7996,18700,18740,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,270,2,12476,12516,23220,23260,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,315,0,4319,4359,15063,15103,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,315,1,8839,8879,19583,19623,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,315,2,13359,13399,24103,24143,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,45,0,937,977,11681,11721,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,45,1,5457,5497,16201,16241,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,45,2,9977,10017,20721,20761,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,90,0,1715,1755,12459,12499,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,90,1,6235,6275,16979,17019,40,13436,0.6718,10744
2024.02.26-13.44.15-Rec,90,2,10755,10795,21499,21539,40,13436,0.6718,10744
2024.02.26-14.21.41-Rec,0,0,396,436,11140,11180,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,0,1,4916,4956,15660,15700,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,0,2,9436,9476,20180,20220,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,135,0,2138,2178,12882,12922,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,135,1,6658,6698,17402,17442,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,135,2,11178,11218,21922,21962,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,180,0,2555,2595,13299,13339,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,180,1,7075,7115,17819,17859,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,180,2,11595,11635,22339,22379,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,225,0,2874,2914,13618,13658,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,225,1,7394,7434,18138,18178,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,225,2,11914,11954,22658,22698,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,270,0,3652,3692,14396,14436,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,270,1,8172,8212,18916,18956,40,13440,0.672,10744
2024.02.26-14.21.41-Rec,270,2,12692,12732,23436,23476,40,13440,0.672,10744
