file_path,file_name,size_gb,size_bytes,modified_time,drive
R:\20250129_Rd\white_noise\2025.01.29-13.12.28-Rec-.cmtr,2025.01.29-13.12.28-Rec-.cmtr,116.76,125370893340,2025-02-03 01:47:39,R:
O:\20250523_Jason\2025.05.23-17.19.25-Rec- (2).cmtr,2025.05.23-17.19.25-Rec- (2).cmtr,114.57,123020585156,2025-06-07 01:54:53,O:
O:\20250521_Jason\2025.05.21-12.47.18-Rec-.cmtr,2025.05.21-12.47.18-Rec-.cmtr,107.95,115912116888,2025-05-23 10:50:40,O:
O:\20250409\image001-1200\2025.04.09-10.11.10-Rec-.cmtr,2025.04.09-10.11.10-Rec-.cmtr,101.94,109454290544,2025-07-01 02:16:36,O:
R:\20250129_Rd\white_noise\2025.01.29-14.33.03-Rec-.cmtr,2025.01.29-14.33.03-Rec-.cmtr,100.66,108077643700,2025-02-05 04:13:14,R:
R:\20250228\2025.02.28-14.30.01-Rec-.cmtr,2025.02.28-14.30.01-Rec-.cmtr,92.48,99300835896,2025-05-24 14:21:24,R:
R:\20250228\natrual scene\2025.02.28-14.30.01-Rec-.cmtr,2025.02.28-14.30.01-Rec-.cmtr,92.48,99300835896,2025-05-24 14:21:24,R:
O:\20250516_Jason\2025.05.16-11.14.45-Rec-.cmtr,2025.05.16-11.14.45-Rec-.cmtr,90.83,97532796744,2025-05-21 05:38:38,O:
R:\20250225\natural scene\2025.02.25-14.31.50-Rec-.cmtr,2025.02.25-14.31.50-Rec-.cmtr,86.2,92551715804,2025-05-25 06:44:41,R:
R:\20250212\set6\2025.02.12-14.24.11-Rec-.cmtr,2025.02.12-14.24.11-Rec-.cmtr,85.09,91363226352,2025-04-24 23:11:59,R:
O:\20250529_images\2025.05.29-10.57.10-Rec-.cmtr,2025.05.29-10.57.10-Rec-.cmtr,81.23,87216314744,2025-06-05 12:41:40,O:
O:\20250409\set6\2025.04.09-10.32.20-Rec-.cmtr,2025.04.09-10.32.20-Rec-.cmtr,81.09,87072878180,2025-07-03 17:59:18,O:
O:\20250415\2025.04.15-12.40.33-Rec-.cmtr,2025.04.15-12.40.33-Rec-.cmtr,80.46,86389235472,2025-07-12 12:35:07,O:
P:\20251119_gaba\gaba\2025.11.19-12.11.15-Rec-.cmtr,2025.11.19-12.11.15-Rec-.cmtr,78.57,84364196704,2025-12-05 22:30:02,P:
O:\20250326\set6\2025.03.26-16.13.47-Rec-.cmtr,2025.03.26-16.13.47-Rec-.cmtr,78.0,83748281372,2025-07-08 18:52:28,O:
R:\20250219\natural scene\2025.02.19-15.04.57-Rec-.cmtr,2025.02.19-15.04.57-Rec-.cmtr,77.26,82962095260,2025-05-06 11:27:27,R:
Q:\20240307\2024.03.07-10.46.01-Rec-.cmtr,2024.03.07-10.46.01-Rec-.cmtr,76.54,82182325444,2024-03-18 20:42:49,Q:
O:\20250527_Jason\2025.05.27-11.37.51-Rec-.cmtr,2025.05.27-11.37.51-Rec-.cmtr,74.72,80231951592,2025-05-30 18:38:28,O:
O:\20250909_gaba_gly\gaba_gly\2025.09.09-14.17.41-Rec-.cmtr,2025.09.09-14.17.41-Rec-.cmtr,74.35,79835716996,2025-09-25 08:14:00,O:
O:\20250919_gaba_gly\gaba_gly\2025.09.19-14.49.20-Rec-.cmtr,2025.09.19-14.49.20-Rec-.cmtr,73.09,78483850836,2025-09-30 10:35:58,O:
O:\20250523_Jason\2025.05.23-13.04.19-Rec-.cmtr,2025.05.23-13.04.19-Rec-.cmtr,73.07,78462184912,2025-05-24 22:09:57,O:
P:\20251106_gaba\gaba\2025.11.06-11.40.34-Rec-.cmtr,2025.11.06-11.40.34-Rec-.cmtr,72.76,78120800764,2025-11-17 05:04:45,P:
R:\20250319\set6\2025.03.19-18.30.08-Rec-.cmtr,2025.03.19-18.30.08-Rec-.cmtr,72.01,77323969248,2025-08-19 23:14:30,R:
P:\20251209_gly\2025.12.09-12.05.37-Rec-.cmtr,2025.12.09-12.05.37-Rec-.cmtr,70.35,75540480092,2025-12-16 21:49:05,P:
O:\20250415\2025.04.15-11.52.44-Rec-.cmtr,2025.04.15-11.52.44-Rec-.cmtr,69.83,74978787500,2025-07-28 09:37:41,O:
R:\20250219\natural scene\2025.02.19-13.07.34-Rec-.cmtr,2025.02.19-13.07.34-Rec-.cmtr,69.61,74742286928,2025-05-03 22:50:05,R:
R:\20250304\set6\2025.03.04-11.03.26-Rec-.cmtr,2025.03.04-11.03.26-Rec-.cmtr,69.54,74672839536,2025-08-09 09:35:25,R:
O:\20250912_gaba_gly\gaba_gly\2025.09.12-12.57.11-Rec-.cmtr,2025.09.12-12.57.11-Rec-.cmtr,68.41,73455070968,2025-09-19 06:59:46,O:
R:\20250304\natural scene\2025.03.04-14.10.16-Rec-.cmtr,2025.03.04-14.10.16-Rec-.cmtr,68.31,73343891312,2025-06-29 20:56:17,R:
O:\20250523_Jason\2025.05.23-11.26.24-Rec-.cmtr,2025.05.23-11.26.24-Rec-.cmtr,68.07,73085789504,2025-05-24 12:34:34,O:
P:\20251113_gaba\gaba\2025.11.13-13.32.43-Rec-.cmtr,2025.11.13-13.32.43-Rec-.cmtr,67.51,72487693024,2025-11-19 06:25:12,P:
Q:\20240307\2024.03.07-12.00.14-Rec-.cmtr,2024.03.07-12.00.14-Rec-.cmtr,67.23,72184724392,2024-03-21 16:32:29,Q:
R:\20250212\set6\2025.02.12-14.50.14-Rec-.cmtr,2025.02.12-14.50.14-Rec-.cmtr,67.15,72098657052,2025-04-26 23:48:28,R:
R:\20250228\set6\2025.02.28-12.22.28-Rec-.cmtr,2025.02.28-12.22.28-Rec-.cmtr,66.98,71916186432,2025-08-02 12:05:35,R:
